t	RBG	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i*	TB
785	5	38598	32730.6	7086.49	10172.1	21718.2	5957.56	5833.07	11327.9	8119.33	5658.3	4	296
785	6	38598	32730.6	7086.49	10172.1	21718.2	5957.56	5833.07	11327.9	8119.33	5658.3	4	296
785	7	38598	32730.6	7086.49	10172.1	21718.2	5957.56	5833.07	11327.9	8119.33	5658.3	4	296
785	8	38598	32730.6	7086.49	10172.1	21718.2	5957.56	5833.07	11327.9	8119.33	5658.3	4	296
785	9	38598	32730.6	7086.49	10172.1	21718.2	5957.56	5833.07	11327.9	8119.33	5658.3	4	296
785	10	38598	32730.6	7086.49	10172.1	21718.2	5957.56	5833.07	11327.9	8119.33	5658.3	4	296
785	11	38598	32730.6	7086.49	10172.1	21718.2	5957.56	5833.07	11327.9	8119.33	5658.3	4	296
785	12	38598	32730.6	7086.49	10172.1	21718.2	5957.56	5833.07	11327.9	8119.33	5658.3	4	296
786	1	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	2	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	3	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	4	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	5	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	6	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	7	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	8	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	9	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	10	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	11	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
786	12	49029.8	40242.5	1288.45	10172.1	21718.2	5152.48	5833.07	13332.8	8119.33	4369.06	4	376
787	1	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	2	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	3	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	4	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
787	5	49029.8	40242.5	1288.45	17097.7	17688	5152.48	5833.07	13332.8	3097.06	4369.06	4	376
