% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1318	1	2	2	0	4	225	0	1
1329	1	1	1	0	6	153	0	1
1329	1	2	2	0	4	105	0	1
1331	1	2	2	0	4	225	0	1
1332	1	2	2	0	4	225	0	1
1334	1	2	2	0	4	225	0	1
1335	1	2	2	0	4	225	0	1
1336	1	2	2	0	4	225	0	1
1338	1	2	2	0	8	437	0	1
1350	1	2	2	0	8	437	0	1
1351	1	2	2	0	8	437	0	1
1352	1	2	2	0	8	437	0	1
1353	1	2	2	0	8	437	0	1
1354	1	2	2	0	8	437	0	1
1355	1	2	2	0	8	437	0	1
1356	1	2	2	0	8	437	0	1
1357	1	2	2	0	2	137	0	1
1358	1	2	2	0	8	437	0	1
1359	1	2	2	0	12	621	0	1
1369	1	1	1	0	2	65	0	1
1369	1	2	2	0	12	301	0	1
1370	1	2	2	0	12	621	0	1
1371	1	2	2	0	12	621	0	1
1376	1	1	1	0	4	105	0	1
1376	1	2	2	0	10	233	0	1
1393	1	1	1	0	6	153	0	1
1397	1	1	1	0	6	153	0	1
1413	1	1	1	0	2	65	0	1
1419	1	1	1	0	2	65	0	1
1426	1	1	1	0	0	41	0	1
1432	1	1	1	0	0	41	0	1
1433	1	1	1	0	4	105	0	1
1439	1	1	1	0	8	209	0	1
1442	1	1	1	0	6	153	0	1
1448	1	2	2	0	16	967	0	1
1453	1	1	1	0	2	137	0	1
1456	1	1	1	0	2	137	0	1
1459	1	1	1	0	2	137	0	1
1467	1	2	2	0	16	453	0	1
1470	1	2	2	0	16	453	0	1
1472	1	2	2	0	16	453	0	1
1474	1	2	2	0	10	233	0	1
1487	1	2	2	0	10	233	0	1
1489	1	2	2	0	10	233	0	1
1490	1	2	2	0	10	233	0	1
1495	1	2	2	0	14	389	0	1
1506	1	2	2	0	18	485	0	1
1509	1	2	2	0	18	485	0	1
1514	1	2	2	0	18	485	0	1
1515	1	2	2	0	18	485	0	1
1525	1	2	2	0	8	209	0	1
1529	1	2	2	0	8	209	0	1
1532	1	2	2	0	8	209	0	1
1534	1	2	2	0	8	209	0	1
1545	1	2	2	0	16	453	0	1
1547	1	2	2	0	16	453	0	1
1548	1	2	2	0	16	453	0	1
1551	1	2	2	0	16	453	0	1
1563	1	2	2	0	10	233	0	1
1565	1	2	2	0	10	233	0	1
1566	1	2	2	0	10	233	0	1
1568	1	2	2	0	10	233	0	1
1569	1	2	2	0	10	233	0	1
1570	1	2	2	0	16	453	0	1
1583	1	2	2	0	16	453	0	1
1585	1	2	2	0	16	453	0	1
1586	1	2	2	0	16	453	0	1
1590	1	2	2	0	6	153	0	1
1591	1	2	2	0	6	153	0	1
1603	1	2	2	0	12	301	0	1
