% time	cellId	IMSI	RNTI	rsrp	sinr
0.0552143	1	2	2	8.20433e-15	43.4462
0.0562143	1	1	1	1.17179e-15	6.20525
0.0562143	1	2	2	6.35439e-15	33.6498
0.0572143	1	1	1	3.99344e-15	21.1474
0.0572143	1	2	2	4.25816e-15	22.5492
0.0582143	1	1	1	5.78484e-15	30.6338
0.0582143	1	2	2	3.98624e-15	21.1092
0.0592143	1	1	1	4.72515e-15	25.0221
0.0592143	1	2	2	4.29303e-15	22.7338
0.0602143	1	1	1	1.97172e-15	10.4413
0.0602143	1	2	2	3.22384e-15	17.0719
0.0612143	1	1	1	1.3422e-16	0.710767
0.0612143	1	2	2	1.5246e-15	8.07355
0.0622143	1	1	1	4.0175e-16	2.12747
0.0622143	1	2	2	1.20986e-15	6.40684
0.0632143	1	1	1	1.58493e-15	8.39303
0.0632143	1	2	2	1.78629e-15	9.45932
0.0642143	1	1	1	1.81136e-15	9.59212
0.0642143	1	2	2	1.36092e-15	7.20681
0.0652143	1	1	1	8.31329e-16	4.40232
0.0652143	1	2	2	2.47445e-15	13.1035
0.0662143	1	1	1	2.6061e-16	1.38006
0.0662143	1	2	2	1.21596e-14	64.3914
0.0672143	1	1	1	1.43023e-15	7.57379
0.0672143	1	2	2	3.16758e-14	167.74
0.0682143	1	1	1	3.34571e-15	17.7173
0.0682143	1	2	2	4.90015e-14	259.488
0.0692143	1	1	1	3.7163e-15	19.6797
0.0692143	1	2	2	4.82642e-14	255.584
0.0702143	1	1	1	1.96719e-15	10.4173
0.0702143	1	2	2	2.86517e-14	151.726
0.0712143	1	1	1	2.90204e-16	1.53678
0.0712143	1	2	2	8.50461e-15	45.0363
0.0722143	1	1	1	1.0361e-15	5.48669
0.0722143	1	2	2	6.94932e-15	36.8003
0.0732143	1	1	1	3.74336e-15	19.823
0.0732143	1	2	2	2.18601e-14	115.761
0.0742143	1	1	1	5.67139e-15	30.033
0.0742143	1	2	2	3.30083e-14	174.796
0.0752143	1	1	1	5.06121e-15	26.8018
0.0752143	1	2	2	2.69571e-14	142.752
0.0762143	1	1	1	2.83659e-15	15.0212
0.0762143	1	2	2	1.11505e-14	59.0477
0.0772143	1	1	1	1.06683e-15	5.64943
0.0772143	1	2	2	1.53575e-15	8.13259
0.0782143	1	1	1	5.69701e-16	3.01686
0.0782143	1	2	2	2.15379e-15	11.4054
0.0792143	1	1	1	6.58608e-16	3.48767
0.0792143	1	2	2	4.23869e-15	22.4461
0.0802143	1	1	1	5.19966e-16	2.75349
0.0802143	1	2	2	2.1194e-15	11.2233
0.0812143	1	1	1	1.70517e-16	0.902979
0.0812143	1	2	2	3.9922e-17	0.211408
0.0822143	1	1	1	9.73529e-17	0.515534
0.0822143	1	2	2	2.15819e-15	11.4288
0.0832143	1	1	1	4.33284e-16	2.29447
0.0832143	1	2	2	4.60829e-15	24.4033
0.0842143	1	1	1	7.65187e-16	4.05207
0.0842143	1	2	2	3.36351e-15	17.8116
0.0852143	1	1	1	6.75529e-16	3.57728
0.0852143	1	2	2	3.63301e-15	19.2387
0.0862143	1	1	1	2.83783e-16	1.50278
0.0862143	1	2	2	1.22147e-14	64.6835
0.0872143	1	1	1	4.27237e-17	0.226244
0.0872143	1	2	2	2.33444e-14	123.621
0.0882143	1	1	1	8.63811e-17	0.457433
0.0882143	1	2	2	2.34615e-14	124.241
0.0892143	1	1	1	1.36401e-16	0.722316
0.0892143	1	2	2	1.14644e-14	60.7101
0.0902143	1	1	1	1.38579e-16	0.73385
0.0902143	1	2	2	4.07634e-15	21.5863
0.0912143	1	1	1	4.72551e-16	2.5024
0.0912143	1	2	2	1.3561e-14	71.8125
0.0922143	1	1	1	1.16072e-15	6.14659
0.0922143	1	2	2	2.87447e-14	152.218
0.0932143	1	1	1	1.41385e-15	7.48708
0.0932143	1	2	2	2.90504e-14	153.837
0.0942143	1	1	1	7.24629e-16	3.83729
0.0942143	1	2	2	1.34664e-14	71.3119
0.0952143	1	1	1	5.44351e-17	0.288262
0.0952143	1	2	2	2.48277e-15	13.1476
0.0962143	1	1	1	1.00309e-15	5.31187
0.0962143	1	2	2	9.41499e-15	49.8573
0.0972143	1	1	1	3.59199e-15	19.0214
0.0972143	1	2	2	2.258e-14	119.573
0.0982143	1	1	1	5.77219e-15	30.5668
0.0982143	1	2	2	2.30469e-14	122.045
0.0992143	1	1	1	5.71369e-15	30.257
0.0992143	1	2	2	1.05655e-14	55.9498
0.100214	1	1	1	3.81565e-15	20.2059
0.100214	1	2	2	7.49e-16	3.96635
0.101214	1	1	1	1.88305e-15	9.97174
0.101214	1	2	2	1.75954e-15	9.31768
0.102214	1	1	1	9.68398e-16	5.12817
0.102214	1	2	2	5.6564e-15	29.9536
0.103214	1	1	1	6.65187e-16	3.52251
0.103214	1	2	2	4.05001e-15	21.4469
0.104214	1	1	1	3.29067e-16	1.74258
0.104214	1	2	2	3.85436e-16	2.04108
0.105214	1	1	1	1.80767e-17	0.0957255
0.105214	1	2	2	1.04635e-15	5.54094
0.106214	1	1	1	1.63534e-16	0.865999
0.106214	1	2	2	4.04474e-15	21.419
0.107214	1	1	1	7.69738e-16	4.07616
0.107214	1	2	2	4.51373e-15	23.9026
0.108214	1	1	1	1.3099e-15	6.93663
0.108214	1	2	2	5.03388e-15	26.657
0.109214	1	1	1	1.26445e-15	6.69592
0.109214	1	2	2	1.09343e-14	57.9028
0.110214	1	1	1	6.89407e-16	3.65077
0.110214	1	2	2	1.81501e-14	96.1143
0.111214	1	1	1	1.28718e-16	0.681628
0.111214	1	2	2	1.68293e-14	89.1201
0.112214	1	1	1	2.58511e-17	0.136895
0.112214	1	2	2	7.0286e-15	37.2201
0.113214	1	1	1	3.49274e-16	1.84959
0.113214	1	2	2	1.13016e-15	5.9848
0.114214	1	1	1	9.22392e-16	4.88455
0.114214	1	2	2	6.31673e-15	33.4504
0.115214	1	1	1	1.86999e-15	9.90258
0.115214	1	2	2	1.36682e-14	72.38
0.116214	1	1	1	3.26912e-15	17.3117
0.116214	1	2	2	1.17123e-14	62.0226
0.117214	1	1	1	4.46211e-15	23.6292
0.117214	1	2	2	3.76237e-15	19.9237
0.118214	1	1	1	4.41812e-15	23.3963
0.118214	1	2	2	2.29918e-15	12.1754
0.119214	1	1	1	2.9826e-15	15.7944
0.119214	1	2	2	9.23995e-15	48.9304
0.120214	1	1	1	1.22261e-15	6.47437
0.120214	1	2	2	1.31419e-14	69.593
0.121214	1	1	1	2.85295e-16	1.51079
0.121214	1	2	2	7.30503e-15	38.6839
0.122214	1	1	1	2.32528e-16	1.23136
0.122214	1	2	2	8.40663e-16	4.45175
0.123214	1	1	1	4.19812e-16	2.22312
0.123214	1	2	2	6.23927e-15	33.0402
0.124214	1	1	1	5.50008e-16	2.91258
0.124214	1	2	2	2.12633e-14	112.6
0.125214	1	1	1	8.32944e-16	4.41087
0.125214	1	2	2	3.08017e-14	163.111
0.126214	1	1	1	1.33401e-15	7.06429
0.126214	1	2	2	2.51593e-14	133.232
0.127214	1	1	1	1.7477e-15	9.255
0.127214	1	2	2	1.04985e-14	55.5951
0.128214	1	1	1	1.77963e-15	9.42409
0.128214	1	2	2	7.14664e-16	3.78452
0.129214	1	1	1	1.45753e-15	7.71839
0.129214	1	2	2	2.13914e-15	11.3279
0.130214	1	1	1	1.10078e-15	5.82918
0.130214	1	2	2	8.43905e-15	44.6892
0.131214	1	1	1	1.07641e-15	5.70018
0.131214	1	2	2	9.64471e-15	51.0738
0.132214	1	1	1	1.45057e-15	7.68152
0.132214	1	2	2	4.42645e-15	23.4404
0.133214	1	1	1	1.81582e-15	9.61572
0.133214	1	2	2	1.38763e-15	7.34823
0.134214	1	1	1	1.63562e-15	8.66149
0.134214	1	2	2	7.61532e-15	40.3271
0.135214	1	1	1	9.165e-16	4.85335
0.135214	1	2	2	1.78144e-14	94.3365
0.136214	1	1	1	2.45219e-16	1.29856
0.136214	1	2	2	1.97876e-14	104.786
0.137214	1	1	1	4.8358e-17	0.256081
0.137214	1	2	2	1.04744e-14	55.4674
0.138214	1	1	1	1.56005e-16	0.826128
0.138214	1	2	2	1.54521e-15	8.18268
0.139214	1	1	1	3.13515e-16	1.66023
0.139214	1	2	2	5.51677e-15	29.2142
0.140214	1	1	1	6.2464e-16	3.30779
0.140214	1	2	2	1.99317e-14	105.549
0.141214	1	1	1	1.14243e-15	6.04975
0.141214	1	2	2	3.01976e-14	159.912
0.142214	1	1	1	1.43565e-15	7.60254
0.142214	1	2	2	2.69487e-14	142.707
0.143214	1	1	1	1.12273e-15	5.94542
0.143214	1	2	2	1.51036e-14	79.9814
0.144214	1	1	1	6.45767e-16	3.41967
0.144214	1	2	2	5.6804e-15	30.0807
0.145214	1	1	1	9.54053e-16	5.05221
0.145214	1	2	2	3.0334e-15	16.0634
0.146214	1	1	1	2.34801e-15	12.4339
0.146214	1	2	2	3.50679e-15	18.5703
0.147214	1	1	1	4.03405e-15	21.3624
0.147214	1	2	2	2.76859e-15	14.6611
0.148214	1	1	1	5.00629e-15	26.5109
0.148214	1	2	2	9.07929e-16	4.80796
0.149214	1	1	1	4.92239e-15	26.0666
0.149214	1	2	2	5.18361e-16	2.74499
0.150214	1	1	1	4.14716e-15	21.9614
0.150214	1	2	2	2.30704e-15	12.217
0.151214	1	1	1	3.1537e-15	16.7005
0.151214	1	2	2	4.07428e-15	21.5754
0.152214	1	1	1	2.19941e-15	11.647
0.152214	1	2	2	3.59689e-15	19.0474
0.153214	1	1	1	1.42724e-15	7.55797
0.153214	1	2	2	1.51102e-15	8.00164
0.154214	1	1	1	8.80714e-16	4.66384
0.154214	1	2	2	2.27485e-16	1.20465
0.155214	1	1	1	5.02674e-16	2.66192
0.155214	1	2	2	4.59941e-16	2.43563
0.156214	1	1	1	1.91646e-16	1.01486
0.156214	1	2	2	7.26277e-16	3.84601
0.157214	1	1	1	1.84492e-17	0.0976984
0.157214	1	2	2	7.37874e-16	3.90743
0.158214	1	1	1	2.7439e-16	1.45304
0.158214	1	2	2	2.51612e-15	13.3242
0.159214	1	1	1	1.12432e-15	5.95384
0.159214	1	2	2	6.18029e-15	32.7279
0.160214	1	1	1	2.12973e-15	11.278
0.160214	1	2	2	7.52813e-15	39.8654
0.161214	1	1	1	2.44396e-15	12.942
0.161214	1	2	2	3.85833e-15	20.4319
0.162214	1	1	1	1.72789e-15	9.15008
0.162214	1	2	2	2.89842e-16	1.53487
0.163214	1	1	1	7.1313e-16	3.7764
0.163214	1	2	2	5.34099e-15	28.2833
0.164214	1	1	1	4.04584e-16	2.14248
0.164214	1	2	2	1.91257e-14	101.281
0.165214	1	1	1	8.54489e-16	4.52497
0.165214	1	2	2	3.07344e-14	162.754
0.166214	1	1	1	1.18013e-15	6.24939
0.166214	1	2	2	3.04229e-14	161.105
0.167214	1	1	1	8.30414e-16	4.39748
0.167214	1	2	2	2.03166e-14	107.587
0.168214	1	1	1	2.76201e-16	1.46263
0.168214	1	2	2	1.00264e-14	53.0951
0.169214	1	1	1	1.85152e-16	0.980477
0.169214	1	2	2	5.15629e-15	27.3052
0.170214	1	1	1	4.48519e-16	2.37514
0.170214	1	2	2	3.54182e-15	18.7558
0.171214	1	1	1	5.89694e-16	3.12274
0.171214	1	2	2	1.75213e-15	9.27846
0.172214	1	1	1	6.86736e-16	3.63662
0.172214	1	2	2	9.62503e-17	0.509695
0.173214	1	1	1	1.1898e-15	6.30061
0.173214	1	2	2	8.70747e-16	4.61106
0.174214	1	1	1	1.9807e-15	10.4888
0.174214	1	2	2	4.09851e-15	21.7038
0.175214	1	1	1	2.27533e-15	12.049
0.175214	1	2	2	6.97466e-15	36.9345
0.176214	1	1	1	1.7017e-15	9.01138
0.176214	1	2	2	6.73263e-15	35.6528
0.177214	1	1	1	8.7965e-16	4.6582
0.177214	1	2	2	3.67079e-15	19.4387
0.178214	1	1	1	6.46217e-16	3.42206
0.178214	1	2	2	6.85365e-16	3.62937
0.179214	1	1	1	1.05117e-15	5.56649
0.179214	1	2	2	1.37646e-16	0.728905
0.180214	1	1	1	1.53378e-15	8.12214
0.180214	1	2	2	1.85973e-15	9.84822
0.181214	1	1	1	1.6987e-15	8.9955
0.181214	1	2	2	4.91133e-15	26.008
0.182214	1	1	1	1.56005e-15	8.26128
0.182214	1	2	2	9.95688e-15	52.7269
0.183214	1	1	1	1.18932e-15	6.29808
0.183214	1	2	2	1.74066e-14	92.177
0.184214	1	1	1	6.42672e-16	3.40329
0.184214	1	2	2	2.37588e-14	125.815
0.185214	1	1	1	1.75533e-16	0.929539
0.185214	1	2	2	2.35245e-14	124.575
0.186214	1	1	1	8.11874e-17	0.42993
0.186214	1	2	2	1.5881e-14	84.0984
0.187214	1	1	1	2.75541e-16	1.45913
0.187214	1	2	2	6.50987e-15	34.4731
0.188214	1	1	1	3.69533e-16	1.95687
0.188214	1	2	2	1.51907e-15	8.04427
0.189214	1	1	1	2.21928e-16	1.17523
0.189214	1	2	2	1.23811e-15	6.55642
0.190214	1	1	1	1.3585e-16	0.719395
0.190214	1	2	2	2.23531e-15	11.8371
0.191214	1	1	1	3.77078e-16	1.99682
0.191214	1	2	2	2.92855e-15	15.5082
0.192214	1	1	1	8.21918e-16	4.35249
0.192214	1	2	2	4.43506e-15	23.4859
0.193214	1	1	1	1.28463e-15	6.8028
0.193214	1	2	2	7.10302e-15	37.6142
0.194214	1	1	1	1.84744e-15	9.78318
0.194214	1	2	2	9.30574e-15	49.2787
0.195214	1	1	1	2.43363e-15	12.8874
0.195214	1	2	2	9.47576e-15	50.1791
0.196214	1	1	1	2.50802e-15	13.2813
0.196214	1	2	2	7.7607e-15	41.097
0.197214	1	1	1	1.67628e-15	8.87678
0.197214	1	2	2	5.86114e-15	31.0378
0.198214	1	1	1	4.93798e-16	2.61492
0.198214	1	2	2	5.73143e-15	30.3509
0.199214	1	1	1	3.94874e-17	0.209106
0.199214	1	2	2	7.72364e-15	40.9007
0.200214	1	1	1	5.62056e-16	2.97638
0.200214	1	2	2	9.66844e-15	51.1994
0.201214	1	1	1	1.19823e-15	6.34523
0.201214	1	2	2	8.70898e-15	46.1186
0.202214	1	1	1	1.1153e-15	5.9061
0.202214	1	2	2	4.87996e-15	25.8419
0.203214	1	1	1	4.881e-16	2.58474
0.203214	1	2	2	1.30568e-15	6.91428
0.204214	1	1	1	4.60393e-17	0.243802
0.204214	1	2	2	2.57485e-16	1.36352
0.205214	1	1	1	3.79558e-17	0.200996
0.205214	1	2	2	8.30658e-16	4.39877
0.206214	1	1	1	1.83966e-16	0.974198
0.206214	1	2	2	1.66933e-15	8.83997
0.207214	1	1	1	3.16491e-16	1.67598
0.207214	1	2	2	3.32593e-15	17.6125
0.208214	1	1	1	5.37224e-16	2.84488
0.208214	1	2	2	6.08292e-15	32.2122
0.209214	1	1	1	7.92966e-16	4.19917
0.209214	1	2	2	7.64422e-15	40.4801
0.210214	1	1	1	8.22907e-16	4.35772
0.210214	1	2	2	5.97802e-15	31.6567
0.211214	1	1	1	5.59416e-16	2.9624
0.211214	1	2	2	3.43842e-15	18.2082
0.212214	1	1	1	3.28742e-16	1.74086
0.212214	1	2	2	5.07991e-15	26.9008
0.213214	1	1	1	5.32905e-16	2.82201
0.213214	1	2	2	1.25021e-14	66.2051
0.214214	1	1	1	1.23168e-15	6.52237
0.214214	1	2	2	2.14795e-14	113.745
0.215214	1	1	1	2.00063e-15	10.5944
0.215214	1	2	2	2.66562e-14	141.159
0.216214	1	1	1	2.21215e-15	11.7145
0.216214	1	2	2	2.62095e-14	138.793
0.217214	1	1	1	1.63002e-15	8.63182
0.217214	1	2	2	2.20818e-14	116.935
0.218214	1	1	1	8.4917e-16	4.4968
0.218214	1	2	2	1.6792e-14	88.9225
0.219214	1	1	1	8.39106e-16	4.4435
0.219214	1	2	2	1.17109e-14	62.0151
0.220214	1	1	1	1.75207e-15	9.27815
0.220214	1	2	2	7.59941e-15	40.2429
0.221214	1	1	1	2.59791e-15	13.7573
0.221214	1	2	2	4.68941e-15	24.8329
0.222214	1	1	1	2.40276e-15	12.7239
0.222214	1	2	2	2.67652e-15	14.1736
0.223214	1	1	1	1.37364e-15	7.27412
0.223214	1	2	2	1.02043e-15	5.40369
0.224214	1	1	1	4.79664e-16	2.54007
0.224214	1	2	2	9.8234e-17	0.520201
0.225214	1	1	1	3.10431e-16	1.6439
0.225214	1	2	2	1.461e-15	7.73677
0.226214	1	1	1	8.91918e-16	4.72317
0.226214	1	2	2	5.98649e-15	31.7016
0.227214	1	1	1	2.10775e-15	11.1616
0.227214	1	2	2	1.13398e-14	60.0504
0.228214	1	1	1	3.47298e-15	18.3913
0.228214	1	2	2	1.3013e-14	68.9106
0.229214	1	1	1	3.90232e-15	20.6648
0.229214	1	2	2	9.20025e-15	48.7201
0.230214	1	1	1	2.77543e-15	14.6974
0.230214	1	2	2	3.7971e-15	20.1076
0.231214	1	1	1	1.10081e-15	5.82938
0.231214	1	2	2	2.15423e-15	11.4078
0.232214	1	1	1	4.17118e-16	2.20886
0.232214	1	2	2	4.54978e-15	24.0934
0.233214	1	1	1	6.77405e-16	3.58722
0.233214	1	2	2	6.28365e-15	33.2752
0.234214	1	1	1	6.42637e-16	3.4031
0.234214	1	2	2	4.42159e-15	23.4146
0.235214	1	1	1	4.8458e-16	2.56611
0.235214	1	2	2	1.47065e-15	7.78784
0.236214	1	1	1	2.06243e-15	10.9216
0.236214	1	2	2	9.85853e-16	5.2206
0.237214	1	1	1	5.70119e-15	30.1908
0.237214	1	2	2	2.38816e-15	12.6466
0.238214	1	1	1	8.46733e-15	44.839
0.238214	1	2	2	3.13986e-15	16.6272
0.239214	1	1	1	7.42259e-15	39.3065
0.239214	1	2	2	3.65656e-15	19.3634
0.240214	1	1	1	3.51601e-15	18.6191
0.240214	1	2	2	6.33515e-15	33.5479
0.241214	1	1	1	4.53763e-16	2.40291
0.241214	1	2	2	1.05463e-14	55.8483
0.242214	1	1	1	2.3782e-16	1.25938
0.242214	1	2	2	1.21151e-14	64.1558
0.243214	1	1	1	1.639e-15	8.67933
0.243214	1	2	2	9.06078e-15	47.9816
0.244214	1	1	1	2.98797e-15	15.8229
0.244214	1	2	2	4.68374e-15	24.8029
0.245214	1	1	1	4.24725e-15	22.4914
0.245214	1	2	2	3.44082e-15	18.2209
0.246214	1	1	1	5.75961e-15	30.5001
0.246214	1	2	2	5.59701e-15	29.6391
0.247214	1	1	1	6.65071e-15	35.219
0.247214	1	2	2	8.16667e-15	43.2468
0.248214	1	1	1	5.76949e-15	30.5525
