% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.021	1	2	103	2	2	16	903	0	0
1.022	1	2	103	3	2	22	1383	0	0
1.023	1	2	103	4	2	22	1383	0	0
1.024	1	2	103	5	2	20	1191	0	0
1.025	1	2	103	6	2	20	1191	0	0
1.026	1	2	103	7	2	18	967	0	0
1.039	1	2	104	10	2	20	1191	0	0
1.04	1	2	105	1	2	20	1191	0	0
1.041	1	2	105	2	2	20	1191	0	0
1.042	1	2	105	3	2	20	1191	0	0
1.043	1	2	105	4	2	20	1191	0	0
1.044	1	2	105	5	2	12	597	0	0
1.045	1	2	105	6	2	12	597	0	0
1.046	1	2	105	7	2	20	1191	0	0
1.047	1	2	105	8	2	20	1191	0	0
1.057	1	2	106	8	2	18	967	0	0
1.058	1	2	106	9	2	10	469	0	0
1.059	1	2	106	10	2	10	469	0	0
1.06	1	2	107	1	2	20	1191	0	0
1.061	1	2	107	2	2	20	1191	0	0
1.062	1	2	107	3	2	22	1383	0	0
1.063	1	2	107	4	2	22	1383	0	0
1.064	1	2	107	5	2	14	775	0	0
1.065	1	2	107	6	2	14	775	0	0
1.066	1	2	107	7	2	20	1191	0	0
1.076	1	2	108	7	2	12	597	0	0
1.077	1	2	108	8	2	12	597	0	0
1.078	1	2	108	9	2	14	775	0	0
1.079	1	2	108	10	2	14	775	0	0
1.08	1	2	109	1	2	20	1191	0	0
1.081	1	2	109	2	2	20	1191	0	0
1.082	1	2	109	3	2	16	903	0	0
1.083	1	2	109	4	2	16	903	0	0
1.084	1	2	109	5	2	16	903	0	0
1.085	1	2	109	6	2	16	903	0	0
1.086	1	2	109	7	2	20	1191	0	0
1.087	1	2	109	8	2	20	1191	0	0
1.095	1	2	110	6	2	22	1383	0	0
1.096	1	2	110	7	2	22	1383	0	0
1.097	1	2	110	8	2	22	1383	0	0
1.098	1	2	110	9	2	14	775	0	0
1.099	1	2	110	10	2	14	775	0	0
1.1	1	2	111	1	2	12	597	0	0
1.101	1	2	111	2	2	12	597	0	0
1.102	1	2	111	3	2	20	1191	0	0
1.103	1	2	111	4	2	20	1191	0	0
1.104	1	2	111	5	2	24	1620	0	0
1.105	1	2	111	6	2	24	1620	0	0
1.106	1	1	111	7	1	0	81	0	0
1.107	1	1	111	8	1	0	81	0	0
1.108	1	1	111	9	1	4	217	0	0
1.109	1	1	111	10	1	4	217	0	0
1.11	1	1	112	1	1	10	469	0	0
1.111	1	1	112	2	1	10	469	0	0
1.113	1	2	112	4	2	24	1620	0	0
1.114	1	2	112	5	2	24	1620	0	0
1.115	1	2	112	6	2	24	1620	0	0
1.116	1	2	112	7	2	20	1191	0	0
1.117	1	2	112	8	2	20	1191	0	0
1.118	1	2	112	9	2	12	597	0	0
1.119	1	2	112	10	2	12	597	0	0
1.12	1	2	113	1	2	16	903	0	0
1.121	1	2	113	2	2	16	903	0	0
1.122	1	2	113	3	2	20	1191	0	0
1.123	1	2	113	4	2	20	1191	0	0
1.124	1	2	113	5	2	8	421	0	0
1.131	1	1	114	2	1	14	775	0	0
1.132	1	2	114	3	2	14	775	0	0
1.133	1	2	114	4	2	14	775	0	0
1.134	1	2	114	5	2	12	597	0	0
1.135	1	2	114	6	2	12	597	0	0
1.136	1	2	114	7	2	14	775	0	0
1.137	1	2	114	8	2	14	775	0	0
1.138	1	2	114	9	2	20	1191	0	0
1.139	1	2	114	10	2	20	1191	0	0
1.14	1	2	115	1	2	18	967	0	0
1.141	1	2	115	2	2	18	967	0	0
1.142	1	1	115	3	1	12	597	0	0
1.143	1	1	115	4	1	12	597	0	0
1.144	1	1	115	5	1	14	775	0	0
1.145	1	1	115	6	1	14	775	0	0
1.146	1	2	115	7	2	14	775	0	0
1.147	1	2	115	8	2	14	775	0	0
1.148	1	2	115	9	2	24	1620	0	0
1.149	1	2	115	10	2	24	1620	0	0
1.15	1	1	116	1	1	10	469	0	0
1.151	1	2	116	2	2	26	1836	0	0
1.152	1	2	116	3	2	20	1191	0	0
1.153	1	2	116	4	2	20	1191	0	0
1.154	1	1	116	5	1	14	775	0	0
